url,keyword_hits,local_file,status
https://www.cancerimagingarchive.net/wp-content/uploads/ACRIN-6698-ISPY2-DWI-and-DCE-MRI-Data-Descriptions_20210520.pdf,dwi,/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/ACRIN-6698-ISPY2-DWI-and-DCE-MRI-Data-Descrip_dce2101e85.pdf,downloaded
https://www.cancerimagingarchive.net/wp-content/uploads/ACRIN-6698-ISPY2-Shared-Private-Tag-Data-Dictionary_20210520.xlsx,,/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/ACRIN-6698-ISPY2-Shared-Private-Tag-Data-Dict_93d5b05fac.xlsx,downloaded
https://www.cancerimagingarchive.net/wp-content/uploads/Analysis-mask-files-description.v20211020.docx,mask;analysis,/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/Analysis-mask-files-description.v20211020_357efed331.docx,downloaded
https://www.cancerimagingarchive.net/wp-content/uploads/ISPY2-719-patients-only-manifest-Jan-2022-nbia-digest.xlsx,,/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/ISPY2-719-patients-only-manifest-Jan-2022-nbi_99130f9823.xlsx,downloaded
https://www.cancerimagingarchive.net/wp-content/uploads/ISPY2-Cohort1-inclu-ACRIN6698-full-manifes-nbia-digest.xlsx,,/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/ISPY2-Cohort1-inclu-ACRIN6698-full-manifes-nb_e723a589a6.xlsx,downloaded
https://www.cancerimagingarchive.net/wp-content/uploads/ISPY2-Imaging-Cohort-1-Clinical-Data.xlsx,,/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/ISPY2-Imaging-Cohort-1-Clinical-Data_b4908b4d4d.xlsx,downloaded
https://www.cancerimagingarchive.net/wp-content/uploads/Multi-feature-MRI-NACT-Data.xlsx,,/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/Multi-feature-MRI-NACT-Data_ecf30cc015.xlsx,downloaded
https://wiki.cancerimagingarchive.net/display/Public/Challenge+competitions,pe,/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/Challenge_competitions_590e737a09.dat,already_exists
https://wiki.cancerimagingarchive.net/display/Public/User+Guides,ser,/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/User_Guides_9d622b4515.dat,already_exists
https://wiki.cancerimagingarchive.net/download/attachments/50135447/ACRIN%206698%20ISPY2%20DWI%20and%20DCE%20MRI%20Data%20Descriptions_20210520.pdf?api=v2,dwi,/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/ACRIN_6698_ISPY2_DWI_and_DCE_MRI_Data_Descrip_5a4fe257bc.pdf,downloaded
https://wiki.cancerimagingarchive.net/download/attachments/50135447/ACRIN%206698%20ISPY2%20Shared%20Private%20Tag%20Data%20Dictionary_20210520.xlsx?api=v2,,/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/ACRIN_6698_ISPY2_Shared_Private_Tag_Data_Dict_910ee20fe1.xlsx,downloaded
https://wiki.cancerimagingarchive.net/download/attachments/50135447/Analysis%20mask%20files%20description.v20211020.docx?api=v2,mask;analysis,/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/Analysis_mask_files_description.v20211020_63cee03832.docx,downloaded
https://wiki.cancerimagingarchive.net/download/attachments/70230072/ISPY2%20Imaging%20Cohort%201%20Clinical%20Data.xlsx?api=v2,,/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/ISPY2_Imaging_Cohort_1_Clinical_Data_0f12ce3674.xlsx,downloaded
https://wiki.cancerimagingarchive.net/download/attachments/70230072/Multi-feature%20MRI%20NACT%20Data.xlsx?api=v2,,/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/Multi-feature_MRI_NACT_Data_b3cb2e5ecf.xlsx,downloaded
https://wiki.cancerimagingarchive.net/opensearch/osd.action,pe,/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/osd_9c39a8f5d2.action,downloaded
https://wiki.cancerimagingarchive.net/pages/reorderpages.action?key=Public&amp;openId=70230072#selectedPageInHierarchy,pe,/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/reorderpages_46b987d7a3.action,downloaded
https://wiki.cancerimagingarchive.net/pages/viewpage.action?pageId=70230072#breadcrumbs,adc,/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/viewpage_3692be0544.action,downloaded
"https://wiki.cancerimagingarchive.net/s/22d93c2922448fada6c66788ba7ae1fb-CDN/-vt7pam/9012/1phy4ty/00ea7ff22e0f630c336ac419602094a0/_/download/contextbatch/css/_super,-com.atlassian.plugins.atlassian-plugins-webresource-rest:data-collector-perf-observer/batch.css",pe;ser,/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/batch_2f393d113f.css,downloaded
"https://wiki.cancerimagingarchive.net/s/d97b6dd96f5501a840b51ca51bc1a8e0-CDN/-vt7pam/9012/1phy4ty/8d50619f438d1737e786209478080d2d/_/download/contextbatch/css/atl.confluence.plugins.pagetree-desktop,main,page,viewcontent,atl.general,atl.comments,-_super/batch.css?build-number=9012&amp;bvAttachmentHasLicense=true&amp;cefp_collab_enabled=true&amp;cefp_ed_perm=false&amp;cefp_is_admin=false&amp;gatekeeper-ui-v2=true&amp;highlightactions=true&amp;hostenabled=true",pe,/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/batch_b4ac34ff7c.css,downloaded
https://wiki.cancerimagingarchive.net/users/profile/editmyprofilepicture.action,ser,/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/editmyprofilepicture_53cf3292cd.action,downloaded
https://wiki.cancerimagingarchive.net/x/NIIiAQ,nii,/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/NIIiAQ_ec36ce497d.dat,already_exists
https://www.cancerimagingarchive.net/analysis-results/,analysis,/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/analysis-results_cce2ef3104.dat,already_exists
https://www.cancerimagingarchive.net/browse-analysis-results/,analysis,/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/browse-analysis-results_05a218448b.dat,already_exists
